value,medical_category,risk_level,z_score
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1435.0,Very Low Birth Weight (VLBW),Very High,3.09
1434.0,Very Low Birth Weight (VLBW),Very High,3.09
1434.0,Very Low Birth Weight (VLBW),Very High,3.09
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1430.0,Very Low Birth Weight (VLBW),Very High,3.1
1426.0,Very Low Birth Weight (VLBW),Very High,3.11
1426.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1425.0,Very Low Birth Weight (VLBW),Very High,3.11
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
1420.0,Very Low Birth Weight (VLBW),Very High,3.12
